UniProt Accession	Ensembl Gene ID	Gene Symbol	
Q96LL9	ENSG00000176410	DNAJC30	
Q8NGP3	ENSG00000150269	OR5M9	
Q7Z4F1	ENSG00000197324	LRP10	
Q5JVF3	ENSG00000126226	PCID2	
Q8TAD4	ENSG00000145740	SLC30A5	
Q9P2E3	ENSG00000124201	ZNFX1	
Q9Y5J3	ENSG00000164683	HEY1	
P62979	ENSG00000143947	RPS27A	
Q3B7T1	ENSG00000107938	EDRF1	
Q9HCL2	ENSG00000119927	GPAM	
Q8N567	ENSG00000131732	ZCCHC9	
Q8TBR5	-	CIRBP-AS1	
Q8WWF3	ENSG00000165120	SSMEM1	
Q9BXU9	ENSG00000183166	CALN1	
O43719	ENSG00000102241	HTATSF1	
Q8IXF9	ENSG00000184945	AQP12A	
Q9NS93	ENSG00000064115	TM7SF3	
Q9H0H0	ENSG00000108506	INTS2	
Q9H2J7	ENSG00000072041	SLC6A15	
P98088	ENSG00000215182; ENSG00000283158	MUC5AC	
Q9Y450	ENSG00000112339	HBS1L	
Q9UBC3	ENSG00000088305	DNMT3B	
Q969X0	ENSG00000150977	RILPL2	
Q8IW50	ENSG00000164970	FAM219A	
Q9BYL1	ENSG00000130590	SAMD10	
Q7Z5W3	ENSG00000186666	BCDIN3D	
P56270	ENSG00000103495	MAZ	
P21580	ENSG00000118503	TNFAIP3	
O60494	ENSG00000107611	CUBN	
Q9BSU1	ENSG00000125149	C16orf70	
O15347	ENSG00000029993	HMGB3	
P06127	ENSG00000110448	CD5	
Q9H7Z6	ENSG00000103510	KAT8	
Q8IV04	ENSG00000175463	TBC1D10C	
Q9Y2D2	ENSG00000117620	SLC35A3	
O15342	ENSG00000113732	ATP6V0E1	
Q86Y56	ENSG00000164818	DNAAF5	
Q6TCH7	ENSG00000163291	PAQR3	
Q86UN6	ENSG00000186471	AKAP14	
O75311	ENSG00000145451	GLRA3	
Q68CK6	ENSG00000066813	ACSM2B	
Q9BX74	ENSG00000162604	TM2D1	
P49916	ENSG00000005156	LIG3	
Q9NS00	ENSG00000106392	C1GALT1	
O95406	ENSG00000100528	CNIH1	
Q9NV39	-	PRR34	
Q8TAP8	ENSG00000160813	PPP1R35	
Q68D91	ENSG00000176055	MBLAC2	
A0A075B6N1	-	TRBV19	
P00492	ENSG00000165704	HPRT1	
Q8IZD0	ENSG00000167100	SAMD14	
Q14687	ENSG00000131149	GSE1	
O43679	ENSG00000169744	LDB2	
Q14296	ENSG00000164896	FASTK	
Q02750	ENSG00000169032	MAP2K1	
Q2KHT3	ENSG00000038532	CLEC16A	
O96018	ENSG00000011132	APBA3	
Q6P4F2	ENSG00000267673	FDX2	
Q5T5A4	ENSG00000179902	C1orf194	
B7Z368	ENSG00000277288	C10orf142	
Q8NBT2	ENSG00000161888	SPC24	
Q9NQI0	ENSG00000152670	DDX4	
Q9ULV8	ENSG00000142273	CBLC	
P30044	ENSG00000126432	PRDX5	
Q9HCP6	ENSG00000010282	HHATL	
P23467	ENSG00000127329	PTPRB	
Q7Z7G2	ENSG00000166569	CPLX4	
Q6DKI1	ENSG00000146223	RPL7L1	
Q92954	ENSG00000116690	PRG4	
Q14249	ENSG00000167136	ENDOG	
P19801	ENSG00000002726	AOC1	
Q3LI68	ENSG00000206106	KRTAP22-2	
Q14416	ENSG00000164082	GRM2	
Q9BY76	ENSG00000167772	ANGPTL4	
Q8IVM8	ENSG00000149742	SLC22A9	
Q86XP3	ENSG00000198231	DDX42	
Q92847	ENSG00000121853	GHSR	
Q9HCU8	ENSG00000175482	POLD4	
P49770	ENSG00000119718	EIF2B2	
Q9Y2C2	ENSG00000111962	UST	
Q7L4I2	ENSG00000111011	RSRC2	
Q9UF11	ENSG00000021300	PLEKHB1	
O95076	ENSG00000156150	ALX3	
Q86SQ0	ENSG00000144824	PHLDB2	
Q9NS66	ENSG00000184194	GPR173	
Q9Y2B4	ENSG00000124251	TP53TG5	
Q3B8N5	ENSG00000119608	PROX2	
O95873	ENSG00000228435; ENSG00000228177; ENSG00000226103; ENSG00000204439; ENSG00000226531; ENSG00000235360; ENSG00000203623	C6orf47	
P54578	ENSG00000101557	USP14	
P43166	ENSG00000168748	CA7	
Q7Z5U6	ENSG00000185798	WDR53	
Q9UPQ7	ENSG00000121440	PDZRN3	
Q9BSD3	ENSG00000171792	RHNO1	
A6NNN8	ENSG00000166558	SLC38A8	
Q8N196	ENSG00000177045	SIX5	
O43261	ENSG00000176124	DLEU1	
Q9NR33	ENSG00000115350	POLE4	
Q8WVM0	ENSG00000029639	TFB1M	
Q6PKX4	ENSG00000206052	DOK6	
P24666	ENSG00000143727	ACP1	
P15309	ENSG00000014257	ACPP	
Q96EC8	ENSG00000181704	YIPF6	
P03973	ENSG00000124107	SLPI	
Q86X52	ENSG00000131873	CHSY1	
A6NDI0	ENSG00000182053	TRIM49B	
O95197	ENSG00000133318	RTN3	
Q86XL3	ENSG00000176915	ANKLE2	
O43293	ENSG00000167657	DAPK3	
Q6ZMB0	ENSG00000198488	B3GNT6	
P17039	ENSG00000168661	ZNF30	
Q3LI77	ENSG00000186971	KRTAP13-4	
Q86W92	ENSG00000110841	PPFIBP1	
Q9UMQ3	ENSG00000043039	BARX2	
Q9NPR2	ENSG00000185033	SEMA4B	
Q6GTS8	ENSG00000162877	PM20D1	
Q2Y0W8	ENSG00000050438	SLC4A8	
O75578	ENSG00000143127	ITGA10	
Q9NV23	ENSG00000152463	OLAH	
Q96R28	ENSG00000198601	OR2M2	
O43657	ENSG00000000003	TSPAN6	
Q8N7B1	ENSG00000176635	HORMAD2	
Q8N5I3	ENSG00000198553	KCNRG	
Q9BVS5	ENSG00000171103	TRMT61B	
Q5EBM4	ENSG00000240225	ZNF542P	
Q8TB73	ENSG00000173376	NDNF	
Q9NQW8	ENSG00000170289	CNGB3	
Q6AI14	ENSG00000180251	SLC9A4	
P54257	ENSG00000173805	HAP1	
Q86UF2	ENSG00000271321; ENSG00000285123	CTAGE6	
P27701	ENSG00000085117	CD82	
Q96EP9	ENSG00000145248	SLC10A4	
Q9GZP9	ENSG00000072849	DERL2	
O00623	ENSG00000108733	PEX12	
A0A087WXM9	ENSG00000239642	MEIKIN	
Q6PF18	ENSG00000285371; ENSG00000139714	MORN3	
A0A075B6I4	-	IGLV10-54	
P0CJ68	ENSG00000256618	MTRNR2L1	
Q8N8D7	ENSG00000185942	NKAIN3	
Q92797	ENSG00000125755	SYMPK	
Q5HYM0	ENSG00000102053	ZC3H12B	
A0A0B4J276	-	TRAV25	
O00295	ENSG00000104804	TULP2	
Q8IYB7	ENSG00000144535	DIS3L2	
O00186	ENSG00000116266	STXBP3	
Q15078	ENSG00000176749	CDK5R1	
Q9NYY3	ENSG00000145632	PLK2	
Q8WXC6	ENSG00000172428	COPS9	
Q9H841	ENSG00000104361	NIPAL2	
Q15475	ENSG00000126778	SIX1	
Q86T65	ENSG00000146122	DAAM2	
O95416	ENSG00000168875	SOX14	
A6NNM3	ENSG00000274600	RIMBP3B	
Q9HC36	ENSG00000171861	MRM3	
P28676	ENSG00000115271	GCA	
Q9BT81	ENSG00000285438; ENSG00000171056	SOX7	
Q9GZS1	ENSG00000137054	POLR1E	
P49619	ENSG00000058866	DGKG	
O75019	ENSG00000104974; ENSG00000274935; ENSG00000277398; ENSG00000275525	LILRA1	
P13584	ENSG00000142973	CYP4B1	
P35557	ENSG00000106633	GCK	
Q9HB40	ENSG00000121064	SCPEP1	
Q12972	ENSG00000117751	PPP1R8	
Q9C0F1	ENSG00000164118	CEP44	
Q14692	ENSG00000165733	BMS1	
Q9UJT9	ENSG00000183580	FBXL7	
Q14289	ENSG00000120899	PTK2B	
A8MQB3	ENSG00000212719	C17orf51	
Q96FV3	ENSG00000048140	TSPAN17	
Q9H5I5	ENSG00000154864	PIEZO2	
Q6XD76	ENSG00000187855	ASCL4	
Q504Q3	ENSG00000135473	PAN2	
Q92966	ENSG00000164975	SNAPC3	
Q04446	ENSG00000114480	GBE1	
Q76G19	ENSG00000067840	PDZD4	
Q9Y493	ENSG00000146839	ZAN	
Q9NWZ8	ENSG00000046647	GEMIN8	
Q1XH10	ENSG00000180592	SKIDA1	
Q9UJX5	ENSG00000053900	ANAPC4	
P08579	ENSG00000125870	SNRPB2	
Q13796	ENSG00000146950	SHROOM2	
P01286	ENSG00000118702	GHRH	
P33778	ENSG00000276410	HIST1H2BB	
Q14392	ENSG00000137507	LRRC32	
Q7Z5Y6	ENSG00000183682	BMP8A	
P40429	ENSG00000142541	RPL13A	
Q13614	ENSG00000087053	MTMR2	
Q96DZ9	ENSG00000166091	CMTM5	
Q86WB0	ENSG00000091732	ZC3HC1	
Q8IUC2	ENSG00000183640	KRTAP8-1	
Q9Y6S9	ENSG00000198208	RPS6KL1	
P61024	ENSG00000173207	CKS1B	
P04000	ENSG00000102076	OPN1LW	
P18754	ENSG00000180198	RCC1	
P82909	ENSG00000278461; ENSG00000134056	MRPS36	
Q10713	ENSG00000165688	PMPCA	
Q9NRR6	ENSG00000148384	INPP5E	
A6NDE4	ENSG00000242875	RBMY1B	
Q9P253	ENSG00000104142	VPS18	
Q9NWK9	ENSG00000117174	ZNHIT6	
P24723	ENSG00000027075	PRKCH	
Q8NHB8	ENSG00000231861	OR5K2	
Q96JN2	ENSG00000128596	CCDC136	
Q8WXS3	ENSG00000164929	BAALC	
P46776	ENSG00000166441	RPL27A	
Q6P280	ENSG00000186020	ZNF529	
Q66K89	ENSG00000167967	E4F1	
Q9UJU3	ENSG00000062370	ZNF112	
Q6NTE8	ENSG00000161010; ENSG00000283918	MRNIP	
Q9UKQ9	ENSG00000213022	KLK9	
P09960	ENSG00000111144	LTA4H	
P01780	-	IGHV3-7	
Q8N8Q1	ENSG00000174151	CYB561D1	
Q96H20	ENSG00000159210	SNF8	
Q9UPN7	ENSG00000105063	PPP6R1	
P48556	ENSG00000099341	PSMD8	
O15375	ENSG00000170190	SLC16A5	
Q8N967	ENSG00000285383; ENSG00000166159	LRTM2	
Q96LI6	ENSG00000172468; ENSG00000169953	HSFY2; HSFY1	
Q8TCC7	ENSG00000149452	SLC22A8	
Q8IZ21	ENSG00000204138	PHACTR4	
Q9GZP0	ENSG00000170962	PDGFD	
P10523	ENSG00000281857; ENSG00000130561	SAG	
Q9UBF6	ENSG00000114125	RNF7	
P24864	ENSG00000105173	CCNE1	
P35558	ENSG00000124253	PCK1	
Q96LU5	ENSG00000148950	IMMP1L	
Q13520	ENSG00000086159	AQP6	
P50226	ENSG00000197165	SULT1A2	
P21757	ENSG00000038945	MSR1	
Q86U02	-	LINC00596	
Q86T24	ENSG00000177485	ZBTB33	
Q9UHC3	ENSG00000213199	ASIC3	
Q15836	ENSG00000049245	VAMP3	
Q6P9F7	ENSG00000197147	LRRC8B	
Q9HBE4	ENSG00000138684	IL21	
Q06710	ENSG00000125618	PAX8	
Q14690	ENSG00000148843	PDCD11	
Q9Y2V0	ENSG00000186073	C15orf41	
Q49MG5	ENSG00000164114	MAP9	
Q01664	ENSG00000090447	TFAP4	
O94812	ENSG00000007516	BAIAP3	
Q9NVH0	ENSG00000081177	EXD2	
P08476	ENSG00000122641	INHBA	
O14815	ENSG00000135773	CAPN9	
Q2TAC6	ENSG00000196169	KIF19	
Q5JQD4	-	PYY3	
Q8WU68	ENSG00000161265	U2AF1L4	
Q00341	ENSG00000115677	HDLBP	
Q52LR7	ENSG00000135999	EPC2	
O95164	ENSG00000122042	UBL3	
Q96HC4	ENSG00000163110	PDLIM5	
Q9H0Q0	ENSG00000197872	FAM49A	
Q5VT28	ENSG00000231527	FAM27B; FAM27C	
P31639	ENSG00000140675	SLC5A2	
Q9UJU6	ENSG00000136279	DBNL	
P07942	ENSG00000091136	LAMB1	
Q96Q77	ENSG00000141977	CIB3	
Q6T423	ENSG00000196600	SLC22A25	
Q9NST1	ENSG00000100344	PNPLA3	
Q9Y446	ENSG00000184363	PKP3	
Q96MZ0	ENSG00000124194	GDAP1L1	
O60721	ENSG00000074621	SLC24A1	
P08727	ENSG00000171345	KRT19	
Q08499	ENSG00000113448	PDE4D	
P14415	ENSG00000129244	ATP1B2	
P0DMU7	ENSG00000278289; ENSG00000273696; ENSG00000228836	CT45A6	
Q96P71	ENSG00000125967	NECAB3	
Q7Z465	ENSG00000163141	BNIPL	
P49418	ENSG00000078053	AMPH	
Q8IXY8	ENSG00000185250	PPIL6	
Q8WUD6	ENSG00000111666	CHPT1	
Q9BRA2	ENSG00000129235	TXNDC17	
P67870	ENSG00000228875; ENSG00000232960; ENSG00000224398; ENSG00000206406; ENSG00000204435; ENSG00000224774; ENSG00000230700	CSNK2B	
P46721	ENSG00000084453	SLCO1A2	
A0A0C4DH38	-	IGHV5-51	
P03891	ENSG00000198763	MT-ND2	
P0DPI4	-	TRBD1	
O15040	ENSG00000196663	TECPR2	
O95395	ENSG00000140297	GCNT3	
P12271	ENSG00000140522	RLBP1	
Q9H4B7	ENSG00000101162	TUBB1	
Q7L3T8	ENSG00000162396	PARS2	
P26232	ENSG00000066032	CTNNA2	
Q8WWF1	ENSG00000118292	C1orf54	
P49247	ENSG00000153574	RPIA	
Q6U736	ENSG00000124818	OPN5	
Q8N7H1	ENSG00000221949	LINC01465	
P54277	ENSG00000064933	PMS1	
Q96JB8	ENSG00000082126	MPP4	
P01737	-	TRAV8-4	
Q8NDZ4	ENSG00000181744	DIPK2A	
Q96DG6	ENSG00000164237	CMBL	
Q15125	ENSG00000147155	EBP	
P0DPF2	ENSG00000162825	NBPF20	
Q9UBQ0	ENSG00000111237	VPS29	
Q9H4D5	ENSG00000147206	NXF3	
Q9UPZ9	ENSG00000112144	ICK	
P78324	ENSG00000198053	SIRPA	
Q8IXT1	ENSG00000165490	DDIAS	
Q5HYR2	ENSG00000184911; ENSG00000269502	DMRTC1B; DMRTC1	
Q9NTU7	ENSG00000054803	CBLN4	
Q8TDU5	-	VN1R17P	
Q13405	ENSG00000149792	MRPL49	
Q8N4F0	ENSG00000078898	BPIFB2	
Q5GLZ8	ENSG00000148634	HERC4	
O96011	ENSG00000131779	PEX11B	
Q9Y2J8	ENSG00000117115	PADI2	
Q9H853	ENSG00000243910	TUBA4B	
A0A0B4J279	-	TRAV21	
A6NFZ4	ENSG00000203795	FAM24A	
Q14194	ENSG00000072832	CRMP1	
Q8IYU8	ENSG00000165487	MICU2	
O76080	ENSG00000107372	ZFAND5	
Q7Z3C6	ENSG00000198925	ATG9A	
Q9P0M2	ENSG00000118507	AKAP7	
A6NJT0	ENSG00000164853	UNCX	
Q7Z5V6	ENSG00000162148	PPP1R32	
P11465	ENSG00000242221	PSG2	
Q6W4X9	ENSG00000277281; ENSG00000283350; ENSG00000184956; ENSG00000277518	MUC6	
P16157	ENSG00000029534	ANK1	
P40938	ENSG00000133119	RFC3	
Q9HAS0	ENSG00000108666	C17orf75	
Q96S95	ENSG00000163888	CAMK2N2	
P40616	ENSG00000120805	ARL1	
P59544	ENSG00000212126; ENSG00000276167; ENSG00000273431	TAS2R50	
Q9Y2G5	ENSG00000186866	POFUT2	
Q96EZ8	ENSG00000187778	MCRS1	
P01009	ENSG00000277377; ENSG00000197249	SERPINA1	
F5GYI3	ENSG00000246922	UBAP1L	
Q9NP91	ENSG00000163817	SLC6A20	
Q9Y3P8	ENSG00000137078	SIT1	
P45877	ENSG00000168938	PPIC	
Q96L08	ENSG00000157303	SUSD3	
Q4G176	ENSG00000176715	ACSF3	
Q14689	ENSG00000160305	DIP2A	
Q96AZ1	ENSG00000123427	EEF1AKMT3	
Q68DI1	ENSG00000152443	ZNF776	
P36269	ENSG00000099998	GGT5	
Q13247	ENSG00000124193	SRSF6	
O95007	ENSG00000221813; ENSG00000284939	OR6B1	
P0C5Y9	ENSG00000274183	H2AFB1	
Q6ECI4	ENSG00000197016	ZNF470	
Q99570	ENSG00000196455	PIK3R4	
P09769	ENSG00000000938	FGR	
Q96RD6	ENSG00000073150	PANX2	
Q3SYA9	-	POM121L1P	
Q8NFQ5	ENSG00000167104	BPIFB6	
Q6WRI0	ENSG00000152580	IGSF10	
P49902	ENSG00000076685	NT5C2	
Q8NEV9	ENSG00000197272	IL27	
Q9H329	ENSG00000095203	EPB41L4B	
P05186	ENSG00000162551	ALPL	
Q16719	ENSG00000115919	KYNU	
Q6UWY0	ENSG00000164291	ARSK	
P05155	ENSG00000149131	SERPING1	
Q86VN1	ENSG00000136100	VPS36	
Q5JR98	ENSG00000188396	TCTEX1D4	
Q8WTR2	ENSG00000162999	DUSP19	
P26441	ENSG00000242689	CNTF	
Q96EU6	ENSG00000124541	RRP36	
Q9H6A9	ENSG00000197136	PCNX3	
Q66K80	ENSG00000225855	RUSC1-AS1	
O15455	ENSG00000164342	TLR3	
A0A0C4DH39	-	IGHV1-58	
Q6UWR7	ENSG00000164303	ENPP6	
Q9NWQ9	ENSG00000179933	C14orf119	
Q8NHS1	ENSG00000160318	CLDND2	
Q9UNA4	ENSG00000101751	POLI	
O15457	ENSG00000057468	MSH4	
Q15645	ENSG00000071539	TRIP13	
P05164	ENSG00000005381	MPO	
Q8NHC5	ENSG00000196772	OR14A16	
Q8TEQ6	ENSG00000082516	GEMIN5	
P0CF75	ENSG00000223601	EBLN1	
O75146	ENSG00000130787	HIP1R	
P49918	ENSG00000129757; ENSG00000273707	CDKN1C	
P10720	ENSG00000109272	PF4V1	
Q6EEV6	ENSG00000177688	SUMO4	
Q9BZA8	ENSG00000099715	PCDH11Y	
A6NC97	-	FAM172BP	
Q6ZU64	ENSG00000181378	CFAP65	
Q9UNK0	ENSG00000170310	STX8	
Q96I13	ENSG00000127220	ABHD8	
B1ANH7	ENSG00000203684	IBA57-DT	
Q8NGR3	ENSG00000165204	OR1K1	
Q9BZP6	ENSG00000134216	CHIA	
Q96HI0	ENSG00000119231	SENP5	
Q8NES8	ENSG00000180383	DEFB124	
P60852	ENSG00000149506	ZP1	
P0DKB6	ENSG00000238205	MPC1L	
Q9HAJ7	ENSG00000164576	SAP30L	
Q9NQR1	ENSG00000183955	KMT5A	
Q9Y6R0	ENSG00000105245	NUMBL	
P01814	-	IGHV2-70	
Q9H2D6	ENSG00000100106	TRIOBP	
P07814	ENSG00000136628	EPRS	
Q96CK0	ENSG00000161914	ZNF653	
Q6P3S1	ENSG00000213047	DENND1B	
Q02928	ENSG00000187048	CYP4A11	
P30050	ENSG00000197958	RPL12	
Q9BPX7	ENSG00000136197	C7orf25	
Q86VE9	ENSG00000164300	SERINC5	
Q8NB59	ENSG00000143469	SYT14	
Q9NZN4	ENSG00000024422	EHD2	
Q8WXE9	ENSG00000140022	STON2	
Q9HAP6	ENSG00000104863	LIN7B	
Q6ICL3	ENSG00000183597	TANGO2	
Q96C45	ENSG00000168038	ULK4	
Q8TAV3	ENSG00000073067	CYP2W1	
Q86TW2	ENSG00000063761	ADCK1	
Q9H9A7	ENSG00000178966	RMI1	
P43146	ENSG00000187323	DCC	
A2VDJ0	ENSG00000121210	TMEM131L	
Q2TBA0	ENSG00000157119	KLHL40	
P43307	ENSG00000124783	SSR1	
Q05BU3	ENSG00000171084	FAM86JP	
Q5T1N1	ENSG00000162641	AKNAD1	
Q9NPI6	ENSG00000272886	DCP1A	
Q9NXV6	ENSG00000168564	CDKN2AIP	
P55854	ENSG00000184900	SUMO3	
P53985	ENSG00000155380; ENSG00000281917	SLC16A1	
Q96KT0	ENSG00000184608	FAM167A-AS1	
Q6ICH7	ENSG00000128203	ASPHD2	
P51572	ENSG00000185825	BCAP31	
Q6DJT9	ENSG00000181690	PLAG1	
Q13619	ENSG00000139842	CUL4A	
P53384	ENSG00000103274	NUBP1	
A8MYB1	-	TMCO5B	
Q9P2P6	ENSG00000159433	STARD9	
Q7Z7H3	ENSG00000158428	CATIP	
Q9BVX2	ENSG00000134291	TMEM106C	
Q6P2C8	ENSG00000160563	MED27	
O96028	ENSG00000109685	NSD2	
P48039	ENSG00000168412	MTNR1A	
Q9BW71	ENSG00000149929	HIRIP3	
Q9HCX3	ENSG00000131845	ZNF304	
O00451	ENSG00000168546	GFRA2	
Q06055	ENSG00000135390	ATP5MC2	
Q6U841	ENSG00000144290	SLC4A10	
Q14204	ENSG00000197102	DYNC1H1	
Q9GZY4	ENSG00000106603	COA1	
Q9NQ48	ENSG00000163818	LZTFL1	
Q9H479	ENSG00000167363	FN3K	
Q92886	ENSG00000181965	NEUROG1	
Q6NZ36	ENSG00000162585	FAAP20	
Q86SJ2	ENSG00000139211	AMIGO2	
Q9HB58	ENSG00000135899	SP110	
P29016	ENSG00000158485	CD1B	
P51582	ENSG00000186912	P2RY4	
Q9Y534	ENSG00000172346	CSDC2	
P59540	ENSG00000262525; ENSG00000278111; ENSG00000226761	TAS2R46	
Q9BXC9	ENSG00000125124	BBS2	
O75417	ENSG00000051341	POLQ	
P60981	ENSG00000125868	DSTN	
Q9UIA9	ENSG00000130227	XPO7	
Q9Y566	ENSG00000161681	SHANK1	
Q9BYN8	ENSG00000125901	MRPS26	
Q96T55	ENSG00000095981	KCNK16	
P59089	-	LINC00205	
Q5TCS8	ENSG00000155085	AK9	
Q99697	ENSG00000164093	PITX2	
Q9UMD9	ENSG00000065618	COL17A1	
O75636	ENSG00000142748	FCN3	
P17540	ENSG00000131730	CKMT2	
Q8WUJ1	ENSG00000167740	CYB5D2	
O14936	ENSG00000147044	CASK	
Q9UKV5	ENSG00000159461	AMFR	
Q99750	ENSG00000112559	MDFI	
Q8N1E6	ENSG00000171823	FBXL14	
Q5UE93	ENSG00000276231	PIK3R6	
Q8TDQ7	ENSG00000163281	GNPDA2	
Q9H5V9	ENSG00000018610	CXorf56	
Q96LM5	ENSG00000164123	C4orf45	
P57678	ENSG00000179409	GEMIN4	
Q7Z2W7	ENSG00000144481	TRPM8	
Q8N5N4	ENSG00000180697	C3orf22	
Q7Z388	ENSG00000156162	DPY19L4	
Q9P299	ENSG00000005243	COPZ2	
Q9P1Z3	ENSG00000263324; ENSG00000143630	HCN3	
O43448	ENSG00000170049	KCNAB3	
P05129	ENSG00000126583	PRKCG	
Q9H426	ENSG00000101098	RIMS4	
Q969H9	ENSG00000174325	DIRC1	
Q96JF6	ENSG00000180626	ZNF594	
Q06323	ENSG00000092010; ENSG00000284916	PSME1	
Q9Y2D5	ENSG00000157654; ENSG00000241978	AKAP2	
Q9BXY8	ENSG00000133134	BEX2	
Q5VWZ2	ENSG00000143353	LYPLAL1	
Q8NGL4	ENSG00000279761	OR5D13	
Q6ICI0	ENSG00000206069	TMEM211	
Q8IYU4	ENSG00000175518	UBQLNL	
Q6FHJ7	ENSG00000106483	SFRP4	
Q6IF82	ENSG00000237388	OR4A47	
P54136	ENSG00000113643	RARS	
Q9Y2W7	ENSG00000115041	KCNIP3	
Q6P9H4	ENSG00000153721	CNKSR3	
Q96QZ7	ENSG00000282956; ENSG00000151276	MAGI1	
Q9BR46	ENSG00000149443	C20orf78	
Q9UP52	ENSG00000106327	TFR2	
P21283	ENSG00000155097	ATP6V1C1	
P35568	ENSG00000169047	IRS1	
P49842	ENSG00000236250; ENSG00000234947; ENSG00000206342; ENSG00000204344; ENSG00000226033; ENSG00000226257	STK19	
Q14515	ENSG00000152583	SPARCL1	
O00292	ENSG00000143768	LEFTY2	
Q8N594	ENSG00000008382	MPND	
P28325	ENSG00000170367	CST5	
Q9Y4W2	ENSG00000001497	LAS1L	
Q8NHG8	ENSG00000180233	ZNRF2	
A8K855	ENSG00000203965	EFCAB7	
Q9HBT7	ENSG00000141040	ZNF287	
Q13011	ENSG00000282853; ENSG00000104823	ECH1	
P28698	ENSG00000099326	MZF1	
P55072	ENSG00000165280	VCP	
Q9H2K2	ENSG00000107854	TNKS2	
Q8TDM0	ENSG00000124243	BCAS4	
P13164	ENSG00000185885	IFITM1	
Q86VI4	ENSG00000104341	LAPTM4B	
Q96BS2	ENSG00000088992	TESC	
O60220	ENSG00000126953	TIMM8A	
P00915	ENSG00000133742	CA1	
Q9BQ95	ENSG00000130159	ECSIT	
P10114	ENSG00000125249	RAP2A	
P25311	ENSG00000160862	AZGP1	
A6NN90	ENSG00000284308	C2orf81	
Q9UHA7	ENSG00000136694	IL36A	
Q9BQF6	ENSG00000138468	SENP7	
Q86X60	ENSG00000188610	FAM72B	
B2RC85	ENSG00000155026; ENSG00000169402	RSPH10B2	
A0A0B4J263	-	TRAV39	
Q96RM1	ENSG00000244094	SPRR2F	
Q9NPI1	ENSG00000166164	BRD7	
Q99895	ENSG00000162438	CTRC	
Q9NP56	ENSG00000171408	PDE7B	
P0DPE8	-	SMIM34B	
P36508	ENSG00000065029	ZNF76	
P15976	ENSG00000102145	GATA1	
Q9ULI3	ENSG00000173706	HEG1	
O43488	ENSG00000053371	AKR7A2	
P86397	ENSG00000255154	HTD2	
Q7Z5Q5	ENSG00000130997	POLN	
Q8TEF2	ENSG00000214688	C10orf105	
Q9NTJ5	ENSG00000211456	SACM1L	
P0DPA2	ENSG00000243284	VSIG8	
P53801	ENSG00000183255	PTTG1IP	
P06850	ENSG00000147571	CRH	
A6NC42	ENSG00000203909	DPPA5	
Q969P0	ENSG00000162729	IGSF8	
P15538	ENSG00000160882	CYP11B1	
Q86WX3	ENSG00000187051	RPS19BP1	
O60931	ENSG00000040531	CTNS	
Q14140	ENSG00000179833	SERTAD2	
O15209	ENSG00000229253; ENSG00000206280; ENSG00000236104; ENSG00000237056; ENSG00000227780	ZBTB22	
Q9UBX8	ENSG00000118276	B4GALT6	
Q8WVZ9	ENSG00000120696	KBTBD7	
Q9HCF6	ENSG00000083067	TRPM3	
Q8IXI2	ENSG00000126858	RHOT1	
S4R3Y5	-	MTRNR2L11	
Q9H3S5	ENSG00000143315	PIGM	
P21917	ENSG00000069696; ENSG00000276825	DRD4	
Q9Y2Z0	ENSG00000165416	SUGT1	
O76015	ENSG00000171360	KRT38	
O95754	ENSG00000135622	SEMA4F	
Q562E7	ENSG00000276021; ENSG00000167716	WDR81	
Q5TCM9	ENSG00000186207	LCE5A	
Q8N2G6	ENSG00000165424	ZCCHC24	
Q9UJ90	ENSG00000176076	KCNE5	
A6NMS3	ENSG00000196098	OR5K4	
Q8TB36	ENSG00000104381	GDAP1	
P02654	ENSG00000130208	APOC1	
Q93034	ENSG00000166266	CUL5	
Q9Y2B1	ENSG00000118600	RXYLT1	
Q8NGP0	ENSG00000258817	OR4C13	
P46977	ENSG00000134910	STT3A	
P62304	ENSG00000182004	SNRPE	
Q14894	ENSG00000283922; ENSG00000103316	CRYM	
P49917	ENSG00000174405	LIG4	
Q969G9	ENSG00000140807	NKD1	
Q8TBY8	ENSG00000118557	PMFBP1	
Q9UQR1	ENSG00000163848	ZNF148	
Q9ULJ7	ENSG00000151458	ANKRD50	
Q53LP3	ENSG00000198142	SOWAHC	
Q9UBR5	ENSG00000217555	CKLF	
Q96LZ2	ENSG00000177689	MAGEB10	
Q9NSV4	ENSG00000139734	DIAPH3	
Q03393	ENSG00000150787	PTS	
Q2M1V0	ENSG00000175329	ISX	
Q96EW2	ENSG00000169087	HSPBAP1	
O75896	ENSG00000114383	TUSC2	
P36222	ENSG00000133048	CHI3L1	
Q6ZNE9	ENSG00000188282	RUFY4	
Q7Z4R8	ENSG00000185127	C6orf120	
Q7Z494	ENSG00000113971	NPHP3	
A8CG34	ENSG00000272391	POM121C	
P0C604	-	OR4A8	
Q6DCA0	ENSG00000144233	AMMECR1L	
A6NGS2	ENSG00000204978	ERICH4	
Q8WUQ7	ENSG00000105298	CACTIN	
Q96HE9	ENSG00000068489	PRR11	
A6H8M9	ENSG00000187492	CDHR4	
Q8NEZ2	ENSG00000155975	VPS37A	
Q14003	ENSG00000131398	KCNC3	
Q495D7	ENSG00000180861	LINC01559	
P53673	ENSG00000196431	CRYBA4	
Q9NS37	ENSG00000137504	CREBZF	
Q13258	ENSG00000168229	PTGDR	
